customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
3996444,1.8682,7860.6084,27891.214,45063.2758,8.4724,735.7674,0.0427
8605529,1.6646,2021.7808,20083.0437,14977.295,4.9452,797.447,0.8285
6855883,0.8808,3757.1785,42138.8915,19626.8889,1.9547,612.7255,0.2493
5789271,3.0363,7146.4695,9591.6237,27633.125,7.3664,535.817,0.2839
2248389,2.3831,5207.0171,25695.7775,31020.9821,4.1868,548.9302,0.2262
2248196,4.3285,7952.37,30600.8133,36712.3415,5.9463,716.0511,0.8401
1464961,0.1605,10335.4513,36073.4301,38657.9199,1.0727,658.8607,0.9789
7929269,3.2193,1294.2873,17798.8405,68178.1402,6.3158,623.0304,0.7552
5808922,3.8147,7641.9215,30020.6927,76117.2952,3.7355,497.6261,0.8236
6664525,3.7974,2512.3634,13268.5592,46532.5576,3.3419,794.9514,0.6205
1164988,4.4304,4483.2989,19043.2897,134746.5436,9.7992,753.211,0.5288
8759083,3.6452,398.5431,39132.1641,82539.5327,4.3243,470.1623,0.7216
7659419,4.6391,1501.5222,41501.894,117083.6911,6.7804,570.3857,0.0358
2698923,1.6633,3469.6461,31413.1561,137243.9142,6.2773,647.6224,0.0614
2454826,2.516,3707.3637,16374.7824,25048.103,1.043,608.8177,0.6873
2467461,0.0704,9675.8486,35833.0234,64073.9106,7.4793,583.8258,0.3351
3434099,0.0348,7987.0706,1160.9353,64860.4899,3.2316,725.7237,0.4888
5198094,1.2006,10452.9273,4517.2444,53253.5274,7.9894,432.0905,0.782
4455653,0.504,6459.1818,28905.3328,2312.8332,6.0764,616.3634,0.5772
3330001,1.3011,2634.0621,12746.73,121284.2276,3.1709,523.8843,0.8053
5894819,0.8852,3553.9686,41566.4459,17445.2028,3.5629,445.4013,0.4192
2116200,0.1426,3470.2737,19068.8082,147745.9656,7.3151,613.4801,0.2874
3337324,4.5465,3541.5446,18776.4891,114943.4967,5.5006,483.745,0.2348
3931022,0.0411,7250.121,29634.659,86500.5414,6.6835,522.1351,0.1317
4648639,3.6804,5728.4957,33541.4943,23790.8692,1.5832,632.0979,0.0368
7281311,0.7607,4172.3235,20793.183,76975.2017,7.8698,838.3794,0.0531
2597607,4.5611,1642.625,9374.3182,39490.6088,3.2039,710.4407,0.271
5113924,4.464,283.7592,33792.0897,38195.4135,6.1986,531.5928,0.2784
5739323,3.2695,2389.1671,14017.2704,123282.7154,1.1468,577.0235,0.3818
1371902,3.3612,1197.1465,7676.4866,57111.6245,3.2142,587.5109,0.5916
